protein1,protein2,label
Q9NQ79,P29972,Positive
Q9NQ79,Q15555,Positive
Q9NQ79,Q8NDC4,Positive
Q9NQ79,P35244,Negative
Q9NQ79,Q5TEZ5,Negative
Q9NVL8,Q8IZU0,Positive
Q9NVL8,Q13643,Positive
Q9NVL8,O76011,Positive
Q9NVL8,Q6A162,Positive
Q9NVL8,Q9BRK4,Positive
Q9NVL8,Q99750,Positive
Q9NVL8,Q8ND90,Positive
Q9NVL8,Q8IUQ4,Positive
Q9NVL8,Q8NA61,Positive
Q9NVL8,Q9Y2D8,Positive
Q9NVL8,Q8IYF3,Positive
Q9NVL8,Q13077,Positive
Q9NVL8,Q12933,Positive
Q9NVL8,P14373,Positive
Q9NVL8,Q8NC44,Negative
Q9NVL8,P34947,Negative
Q9NVL8,Q96R72,Negative
P30613,P24530,Negative
P30613,Q96AX1,Negative
O75326,P16333,Positive
O75326,P14621,Negative
O75326,P58499,Negative
Q9NQ76,P16333,Positive
Q9NQ76,Q8NGP4,Negative
Q9NQ76,A1XBS5,Negative
Q9NQ76,Q504Y0,Negative
Q9NVL1,Q13077,Positive
Q9NVL1,O95231,Positive
Q9NVL1,A0A1B0GTY4,Negative
Q9NVL1,B2RD01,Negative
Q9ULZ2,P10275,Positive
Q9ULZ2,Q13480,Positive
Q9ULZ2,Q86VR2,Positive
Q9ULZ2,Q96B97,Positive
Q9ULZ2,O95249,Negative
Q9ULZ2,P51178,Negative
Q9ULZ2,P51522,Negative
P20933,Q6UWV2,Negative
P20933,A1KXE4,Negative
P20933,Q9UL46,Negative
P20933,Q8NH69,Negative
Q8TDW4,Q7Z465,Negative
Q8TDW4,Q8N4F0,Negative
Q8TDW4,O15130,Negative
Q8TDW4,Q9UBD3,Negative
P20936,Q03135,Positive
Q8NFX7,O00124,Negative
Q8NFX7,Q5T5S1,Negative
Q496A3,O43820,Negative
Q496A3,O15530,Negative
P83859,Q15691,Negative
P83859,Q5T5N4,Negative
P83859,Q96B67,Negative
P83859,Q9NP99,Negative
Q8WXE9,Q15843,Positive
Q8TBF2,Q9H4T2,Negative
Q8TBF2,O00219,Negative
Q15573,Q6ZUT1,Positive
Q15573,Q01105,Positive
Q15573,P20226,Positive
Q15573,Q92886,Negative
Q15572,Q01105,Positive
Q15572,Q16514,Positive
Q15572,P20226,Positive
Q15572,A1E959,Negative
Q15572,Q8IXH6,Negative
P23919,Q8NHS9,Negative
P23919,Q8IXI2,Negative
Q8NHX4,Q92905,Negative
Q8NHX4,P42229,Negative
Q8NHX4,Q8NBJ5,Negative
Q9P0L0,P05090,Positive
Q9P0L0,P35372,Positive
Q9P0L0,Q9H1P3,Positive
Q9P0L0,Q8WXG1,Positive
Q9P0L0,O95292,Positive
Q9P0L0,O95070,Positive
Q9P0L0,Q5T4F4,Positive
Q9P0L0,Q96FW1,Negative
Q9P0L0,Q9BYR7,Negative
Q9P0L0,A4D126,Negative
Q6ZNW5,O15503,Negative
Q6ZNW5,O60826,Negative
Q6ZNW5,O43752,Negative
Q6ZNW5,Q9BSM1,Negative
Q9NXR8,P20142,Negative
Q9NXR8,Q14849,Negative
Q9NXR8,Q9H3Q3,Negative
Q9NXR8,Q96KR7,Negative
Q9C0H2,Q9NWS0,Negative
Q9C0H2,Q8IWF6,Negative
Q9C0H2,P10515,Negative
Q4VXU2,A4D1N5,Negative
Q00535,Q8TDN4,Positive
Q00535,P24863,Positive
Q00535,P30279,Positive
Q00535,P30281,Positive
Q00535,Q15078,Positive
Q00535,P38936,Positive
Q00535,P46527,Positive
Q00535,P25100,Negative
Q00535,Q9Y227,Negative
Q00534,P24385,Positive
Q00534,P30281,Positive
Q00534,Q16543,Positive
Q00534,P42771,Positive
Q00534,P42772,Positive
Q00534,P42773,Positive
Q00534,P55273,Positive
Q00534,P08238,Positive
Q00534,Q01196,Positive
Q00534,Q08AN1,Negative
Q00537,P63104,Positive
Q00537,P33240,Negative
Q00537,Q8IVH2,Negative
Q00536,Q92624,Positive
Q00536,Q8N7R7,Positive
